"Site Code","Site Name","Site Type","Site Category","Region","Status","Address","GIS Migrated","Floorplans","Location","Comments","Restricted","Freehold/Leasehold","Power Resilience"
"XBE (BSGMTX)","Basingstoke","LTC","[""NFV"",""Gi-LAN"",""CHE""]","THAMES VALLEY","Normal","Unit 2, Gemini
Hamilton Close
Basingstoke
RG21 6YT","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Basingstoke_Floorplan.pdf?csf=1&e=S9jFZ4","https://www.google.co.uk/maps?q=51.275716,-1.108654&num=1&t=h&sll=51.274046,-1.107006&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=51.274827,-1.108085&spn=0.00996,0.019248&z=16","Data migrated to GIS

01256330837
","True","Leasehold","N+N (Resilient)"
"BKLN06","Bracknell - Sterling Centre Unit 6","LTC","[""NFV""]","Thames Valley","Normal","STERLING CENTRE
BRACKNELL
BERKSHIRE
RG12 2PW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BKLN06.pdf","https://www.google.com/maps/place/51%C2%B024%2746.3%22N+0%C2%B044%2716.5%22W/@51.412862,-0.7385274,323m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4128611!4d-0.7379167","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"XEH (LIVMTX)","Edinburgh","LTC","[""NFV"",""Gi-LAN"",""CHE""]","SCOTLAND","Normal","1 Haldane Square
Brucefield Industrial Estate 
Livingston
Midlothian, EH54 9BY","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Edinburgh_Floorplan.pdf?csf=1&e=4jAow6","http://maps.google.co.uk/maps?f=q&source=s_q&hl=en&geocode=&q=EH54+9DS&sll=51.134689,-0.157843&sspn=0.019981,0.038495&ie=UTF8&hq=&hnear=Livingston,+West+Lothian+EH54+9DS,+United+Kingdom&ll=55.865776,-3.53013&spn=0.017868,0.038495&t=h&z=15","Data migrated to GIS","True","Freehold","N+N (Resilient)"
"XGR (GCRMTX)","Gloucester","LTC","[""NFV""]","SOUTH WEST","Normal","Green Farm
Falcon Close
Quedgeley
Gloucester, GL2 4LY","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Gloucester_Floorplan.pdf?csf=1&e=pHzzYF","http://maps.google.co.uk/maps?q=51.833315,-2.277673&num=1&t=h&sll=51.833599,-2.277284&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=51.832144,-2.275651&spn=0.00492,0.009624&z=17","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"XGL (BMGMTX)","Gravelly Hill","LTC","[""RA"",""NFV"",""Gi-LAN"",""CHE""]","MIDLANDS","Normal","Unit 14, Junction 6 Industrial Park
66 Electric Avenue
Birmingham
B6 7JJ","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Gravelly_Hill_Floorplans/GravellyHill_First_Floorplan.pdf?csf=1&web=1&e=cEYeBz","http://maps.google.co.uk/maps?q=52.511732,-1.868529&num=1&t=h&sll=52.511703,-1.86899&sspn=0.002422,0.004812&hl=en&ie=UTF8&ll=52.510488,-1.864693&spn=0.00969,0.019248&z=16","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"XGL001 (BMGMTX)","Gravelly Hill","LTC","[""NFV""]","MIDLANDS","Normal","Unit 14, Junction 6
Industrial Park
66 Electric Avenue
Birmingham
B67JJ","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Gravelly_Hill_Floorplans/GravellyHill_Ground_Floorplan.pdf?csf=1&web=1&e=NUDtvI","/sites/InfrastructureDeliveryPublic/Lists/test/DispForm.aspx?ID=12&e=DdEUbZ","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"XLD (LLDMTX)","Leyland","LTC","[""NFV"",""Gi-LAN"",""CHE""]","NORTH WEST","Normal","Leyland MTX
Carr Lane, Off Wheelton Lane
Farington
Leyland 
PR25 3RD ","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Leyland_Floorplan.pdf?csf=1&e=3z2TXZ","http://maps.google.co.uk/maps?q=53.704316,-2.690213&num=1&t=h&sll=53.702829,-2.689694&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=53.705357,-2.693152&spn=0.009425,0.019248&z=16","Data migrated to GIS","True","Freehold","N+N (Resilient)"
"XMS (MKSMTX)","Milton Keynes","LTC","[""NFV"",""Gi-LAN"",""CHE""]","NORTHERN HOME COUNTIES","Normal","Site F, Fingle Drive
Buckinghamshire
Milton Keynes
MK13 0ER","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Milton_Keynes_Floorplan.pdf?csf=1&e=mRiHQC","http://maps.google.co.uk/maps?q=52.060552,-0.799022&num=1&t=h&sll=52.062057,-0.799132&sspn=0.009789,0.019248&hl=en&ie=UTF8&ll=52.054575,-0.801272&spn=0.019581,0.038495&z=15","Data migrated to GIS","True","Freehold","N+N (Resilient)"
"XOM (OLDMTX)","Oldham","LTC","[""NFV""]","NORTH WEST","Normal","Unit P
Birch Industrial Estate
Whittle Lane 
Heywood, OL10 2SX","True","/:f:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Oldham_Floorplans?csf=1&e=NKpbgI","http://maps.google.co.uk/maps?q=53.572518,-2.242756&num=1&t=h&sll=53.572069,-2.240743&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=53.573397,-2.245502&spn=0.037816,0.07699&z=14","Data migrated to GIS","False","Leasehold","N+N (Resilient)"
"XAN (ACTMTX)","Acton","MTX","[""Gi-LAN"",""CHE""]","LONDON","Restricted","50 Brunel Road
West Way Industrial Estate 
Acton
London, W3 7XR","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Acton_Floorplan.pdf?csf=1&web=1&e=EPnSDk","https://www.google.com/maps/@51.5196701,-0.2554939,170m/data=!3m1!1e3","Data migrated to GIS.","True","Leasehold","N+N (Resilient)"
